(0, 0.0)
(0.0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(1.0, 0.07692307692307693)
(0.0, 0.07142857142857142)
(1, 0.13333333333333333)
(0.0, 0.125)
(0.0, 0.11764705882352941)
(1, 0.16666666666666666)
(0.0, 0.15789473684210525)
(1, 0.2)
(1, 0.23809523809523808)
(0.0, 0.22727272727272727)
(0.0, 0.21739130434782608)
(0.0, 0.20833333333333334)
(0.0, 0.2)
(1, 0.23076923076923078)
(0.0, 0.2222222222222222)
(0, 0.21428571428571427)
(1, 0.2413793103448276)
(1, 0.26666666666666666)
(0.0, 0.25806451612903225)
(0.0, 0.25)
(1.0, 0.2727272727272727)
(0.0, 0.2647058823529412)
(0.0, 0.2571428571428571)
(0, 0.25)
(0, 0.24324324324324326)
(0.0, 0.23684210526315788)
(0.0, 0.23076923076923078)
(0.0, 0.225)
(0.0, 0.21951219512195122)
(1, 0.23809523809523808)
(0.0, 0.23255813953488372)
(0, 0.22727272727272727)
(0, 0.2222222222222222)
(0, 0.21739130434782608)
(0.0, 0.2127659574468085)
(0.0, 0.20833333333333334)
(0.0, 0.20408163265306123)
(0.0, 0.2)
(0.0, 0.0)
(1.0, 0.5)
(0.0, 0.3333333333333333)
(1, 0.5)
(0.0, 0.4)
(0, 0.3333333333333333)
(0.0, 0.2857142857142857)
(1, 0.375)
(0.0, 0.3333333333333333)
(0.0, 0.3)
(0.0, 0.2727272727272727)
(0, 0.25)
(0, 0.23076923076923078)
(0.0, 0.21428571428571427)
(0, 0.2)
(1.0, 0.25)
(0, 0.23529411764705882)
(1, 0.2777777777777778)
(1.0, 0.3157894736842105)
(1, 0.35)
(0.0, 0.3333333333333333)
(0.0, 0.3181818181818182)
(1.0, 0.34782608695652173)
(1.0, 0.375)
(0, 0.36)
(0.0, 0.34615384615384615)
(0, 0.3333333333333333)
(1.0, 0.35714285714285715)
(1, 0.3793103448275862)
(0.0, 0.36666666666666664)
(0.0, 0.3548387096774194)
(0.0, 0.34375)
(1, 0.36363636363636365)
(1, 0.38235294117647056)
(1.0, 0.4)
(0.0, 0.3888888888888889)
(0.0, 0.3783783783783784)
(0.0, 0.3684210526315789)
(1, 0.38461538461538464)
(0, 0.375)
(1.0, 0.3902439024390244)
(0.0, 0.38095238095238093)
(0.0, 0.37209302325581395)
(0.0, 0.36363636363636365)
(0.0, 0.35555555555555557)
(0, 0.34782608695652173)
(0, 0.3404255319148936)
(0, 0.3333333333333333)
(0.0, 0.32653061224489793)
(0.0, 0.32)
(0, 0.3137254901960784)
(1, 0.3269230769230769)
(0, 0.32075471698113206)
(0.0, 0.3148148148148148)
(1, 0.32727272727272727)
(0, 0.32142857142857145)
(0, 0.3157894736842105)
(0, 0.3103448275862069)
(1, 0.3220338983050847)
(1, 0.3333333333333333)
(0.0, 0.32786885245901637)
(0.0, 0.3225806451612903)
(1, 0.3333333333333333)
(0.0, 0.0)
(0.0, 0.0)
(1.0, 0.3333333333333333)
(1, 0.5)
(0, 0.4)
(0, 0.3333333333333333)
(0, 0.2857142857142857)
(0, 0.25)
(1.0, 0.3333333333333333)
(1, 0.4)
(1, 0.45454545454545453)
(0.0, 0.4166666666666667)
(0.0, 0.38461538461538464)
(0.0, 0.35714285714285715)
(0.0, 0.3333333333333333)
(0.0, 0.3125)
(1, 0.35294117647058826)
(0.0, 0.3333333333333333)
(0.0, 0.3157894736842105)
(0.0, 0.3)
(1, 0.3333333333333333)
(0.0, 0.3181818181818182)
(1, 0.34782608695652173)
(0.0, 0.3333333333333333)
(0.0, 0.32)
(0.0, 0.3076923076923077)
(0.0, 0.2962962962962963)
(0.0, 0.2857142857142857)
(0, 0.27586206896551724)
(0, 0.26666666666666666)
(0.0, 0.25806451612903225)
(0, 0.25)
(0, 0.24242424242424243)
(0, 0.23529411764705882)
(0, 0.22857142857142856)
(0, 0.2222222222222222)
(0.0, 0.21621621621621623)
(0.0, 0.21052631578947367)
(0.0, 0.20512820512820512)
(1, 0.225)
(0.0, 0.21951219512195122)
(1.0, 0.23809523809523808)
(1, 0.2558139534883721)
(1, 0.2727272727272727)
(0.0, 0.26666666666666666)
(1, 0.2826086956521739)
(0.0, 0.2765957446808511)
(0.0, 0.2708333333333333)
(0.0, 0.2653061224489796)
(0.0, 0.26)
(0.0, 0.2549019607843137)
(0.0, 0.25)
(1, 0.2641509433962264)
(1.0, 0.2777777777777778)
(0.0, 0.2727272727272727)
(0.0, 0.26785714285714285)
(0.0, 0.2631578947368421)
(0.0, 0.25862068965517243)
(1, 0.2711864406779661)
(0.0, 0.26666666666666666)
(1.0, 0.2786885245901639)
